gene	expr	reptime	hic	N_nonsilent	N_silent	N_noncoding	n_nonsilent	n_silent	n_noncoding	nnei	x	X	p	q
TRPV3	441141	442	-2	862500	235950	0	2	1	0	50	20	8041500	6.208368e-01	1
BTN1A1	426020	498	34	558000	165150	0	2	1	0	50	20	7659600	6.209880e-01	1
ALG5	176745	650	16	358650	97200	0	1	0	0	50	20	8129550	6.210999e-01	1
FSCN3	411207	619	-7	531600	151950	0	2	0	0	50	17	6340650	6.211567e-01	1
TSPYL5	387608	610	-13	429450	134850	0	1	0	0	50	13	6634800	6.211982e-01	1
SUSD1	536415	164	32	813450	226500	0	2	2	0	50	14	8239950	6.213871e-01	1
TBCK	176206	606	7	990300	261600	0	2	0	0	50	23	8574750	6.217236e-01	1
ZAR1	310162	396	52	435150	144000	0	1	0	0	50	17	8497500	6.219993e-01	1
ARG2	481915	260	42	379050	112800	0	1	0	0	50	17	7401900	6.220050e-01	1
TUBGCP3	273358	399	11	995700	267900	0	2	0	0	50	25	10348650	6.221570e-01	1
RECQL5	1912060	198	37	1094100	316650	0	1	0	0	50	20	10025850	6.221612e-01	1
NAGLU	1993535	162	27	765300	248100	0	2	1	0	50	17	9098400	6.225547e-01	1
ERAL1	1693126	177	31	470550	137850	0	1	0	0	50	15	8207400	6.226226e-01	1
ECE1	744763	196	27	895650	244650	0	2	0	0	50	17	10642800	6.227649e-01	1
SLC39A4	2043455	200	36	706500	241650	0	2	1	0	50	14	7132500	6.228217e-01	1
ZNF492	51041	1399	-76	585600	138000	0	3	0	0	29	18	5462250	6.230168e-01	1
COL28A1	220971	682	6	1228500	353700	0	2	1	0	50	19	10531050	6.231286e-01	1
ZNF532	352047	299	51	1378500	393600	0	3	2	0	50	12	8156400	6.232065e-01	1
BMP15	15214	NaN	27	413400	120750	0	1	0	0	50	19	8892300	6.232546e-01	1
EPX	851306	401	14	753750	234450	0	4	1	0	50	20	7635000	6.233074e-01	1
TTLL7	157542	957	-14	984900	248100	0	2	0	0	31	9	5593500	6.233092e-01	1
WDFY3	92480	950	-1	3841950	1054950	0	5	4	0	50	20	9715500	6.234938e-01	1
ZNF267	263122	850	-18	817200	192600	0	5	0	0	50	28	9642900	6.235021e-01	1
GDAP1L1	664405	367	19	394650	112050	0	1	0	0	50	22	9693750	6.235617e-01	1
DTNA	116061	552	-20	855150	228000	0	1	0	0	50	28	10280100	6.235718e-01	1
OPN3	172337	341	-13	417750	131700	0	1	0	0	50	19	8973300	6.237694e-01	1
POLH	1221714	194	46	762900	219000	0	1	0	0	14	1	2338650	6.237800e-01	1
CEMP1	2085452	321	49	289050	79500	0	1	0	0	50	28	8869500	6.238070e-01	1
ITSN1	921622	370	44	1895250	501450	0	7	1	0	33	13	7791300	6.238073e-01	1
CABLES1	270708	198	72	683250	213150	0	2	0	0	50	20	9317400	6.238177e-01	1
PIK3R2	1249693	226	42	771000	238350	0	2	0	0	26	11	6390750	6.240254e-01	1
SSH1	474364	293	45	1236750	354900	0	4	0	0	50	16	9234150	6.240683e-01	1
TUBB2B	451139	453	37	476250	131250	0	1	0	0	50	13	7299000	6.241504e-01	1
PCDH15	2832	1222	-41	2701350	743400	0	14	3	0	9	6	2847600	6.241696e-01	1
FNBP1L	621313	224	2	694800	160200	0	2	0	0	50	18	8639850	6.242607e-01	1
APOL3	1228837	331	13	418650	129900	0	1	0	0	50	20	9405150	6.243861e-01	1
PLCXD1	NaN	NaN	NaN	345450	102750	0	1	1	0	30	17	6700950	6.244590e-01	1
CKAP5	1075464	145	38	2223900	598050	0	4	2	0	17	10	4716600	6.245187e-01	1
RIBC1	920771	NaN	70	428700	109950	0	1	0	0	50	18	8751750	6.245300e-01	1
MYBPC1	348152	448	6	1329150	335850	0	3	1	0	50	10	7074900	6.245374e-01	1
CFLAR	617625	205	39	548100	143550	0	3	2	0	20	15	3877950	6.245481e-01	1
PELI3	1941577	194	51	488700	157950	0	1	0	0	50	15	8478150	6.246049e-01	1
CLIC6	284989	406	43	717750	218700	0	1	0	0	31	7	6590550	6.246219e-01	1
PCDHGC3	665835	568	9	1012050	328500	0	2	1	0	50	27	10476000	6.247339e-01	1
UBR3	340876	631	32	2083650	534900	0	2	1	0	25	8	4246950	6.247353e-01	1
ACOT11	688014	415	18	721650	201750	0	1	0	0	8	0	1470150	6.247396e-01	1
BEND6	428244	271	23	312300	76500	0	1	0	0	50	27	9237900	6.248230e-01	1
HBS1L	152992	353	26	1268550	348750	0	4	1	0	50	15	8460600	6.248460e-01	1
CNN3	282666	333	-6	363750	92550	0	1	1	0	38	17	7047750	6.248848e-01	1
LIMA1	1008076	144	57	830400	214950	0	2	1	0	50	14	8341950	6.249281e-01	1
USP46	115480	870	12	417750	99750	0	1	0	0	50	18	8518350	6.249562e-01	1
ETV7	942911	192	46	371400	102900	0	1	0	0	50	22	9085200	6.250796e-01	1
LRRC48	971820	193	20	603000	148500	0	1	0	0	50	9	6758700	6.251166e-01	1
MGEA5	817474	335	37	1005600	259350	0	2	1	0	50	16	8513400	6.252616e-01	1
CCDC114	1265470	217	34	724950	204300	0	5	0	0	50	26	7833450	6.253107e-01	1
UTP14A	379883	NaN	35	843150	225150	0	2	0	0	50	17	9956850	6.254301e-01	1
IRF2BP1	883734	203	39	582900	206850	0	1	0	0	50	12	8308500	6.254387e-01	1
SP100	478720	559	38	1217850	275250	0	3	0	0	50	10	9341700	6.254747e-01	1
BCL2L13	413666	221	-23	511800	155100	0	1	0	0	50	15	8854200	6.256261e-01	1
